UF;Cod _Infração;Quantidade
ALAGOAS;6890;1
ALAGOAS;6912;14
ALAGOAS;6920;101
ALAGOAS;6947;11
ALAGOAS;6980;1
ALAGOAS;7030;795
ALAGOAS;7048;463
ALAGOAS;7056;13
ALAGOAS;7072;10
ALAGOAS;7099;5
ALAGOAS;7102;3
ALAGOAS;7137;1
ALAGOAS;7153;1
ALAGOAS;7161;2
ALAGOAS;7218;8
ALAGOAS;7234;13
ALAGOAS;7242;4
ALAGOAS;7269;4
ALAGOAS;7285;5
ALAGOAS;7293;2
ALAGOAS;7315;5
ALAGOAS;7323;1
ALAGOAS;7340;612
ALAGOAS;7358;2
ALAGOAS;7366;226
ALAGOAS;7374;8
ALAGOAS;7455;13128
ALAGOAS;7463;2594
ALAGOAS;7471;317
ALAGOAS;7552;1
ALAGOAS;7560;3
ALAGOAS;7579;38
ALAGOAS;7587;5307
ALAGOAS;7625;135
ALAGOAS;7633;1269
ALAGOAS;7641;1
ALAGOAS;7670;10
ALAGOAS;7684;365
ALAGOAS;7714;6
ALAGOAS;7722;49
ALAGOAS;7730;10
ALAGOAS;7749;1
ALAGOAS;7757;2
AMAPA;5002;360
AMAPA;5010;126
AMAPA;5037;5
AMAPA;5045;31
AMAPA;5053;1
AMAPA;5061;2
AMAPA;5118;24
AMAPA;5134;4
AMAPA;5142;5
AMAPA;5169;27
AMAPA;5185;262
AMAPA;5193;18
AMAPA;5207;4
AMAPA;5215;2
AMAPA;5223;1
AMAPA;5258;1
AMAPA;5274;9
AMAPA;5282;3
AMAPA;5320;1
AMAPA;5347;1
AMAPA;5380;15
AMAPA;5401;1
AMAPA;5410;1
AMAPA;5428;2
AMAPA;5444;1
AMAPA;5452;91
AMAPA;5460;5
AMAPA;5479;6
AMAPA;5487;47
AMAPA;5509;3
AMAPA;5525;5
AMAPA;5541;138
AMAPA;5550;50
AMAPA;5568;28
AMAPA;5576;2
AMAPA;5584;1
AMAPA;5592;1
AMAPA;5606;1
AMAPA;5614;2
AMAPA;5622;9
AMAPA;5665;5
AMAPA;5673;154
AMAPA;5681;16
AMAPA;5703;17
AMAPA;5720;8
AMAPA;5738;34
AMAPA;5746;7
AMAPA;5797;1
AMAPA;5819;34
AMAPA;5827;2
AMAPA;5835;36
AMAPA;5843;1
AMAPA;5851;1
AMAPA;5886;1
AMAPA;5908;3
AMAPA;5967;15
AMAPA;5975;1
AMAPA;5991;1
AMAPA;6017;5
AMAPA;6033;1
AMAPA;6041;33
AMAPA;6050;2889
AMAPA;6068;24
AMAPA;6076;10
AMAPA;6122;7
AMAPA;6270;3
AMAPA;6394;1
AMAPA;6408;4
AMAPA;6530;2
AMAPA;6556;10
AMAPA;6564;1
AMAPA;6580;7
AMAPA;6599;139
AMAPA;6602;3
AMAPA;6610;3
AMAPA;6637;45
AMAPA;6645;6
AMAPA;6653;16
AMAPA;6661;5
AMAPA;6670;17
AMAPA;6700;7
AMAPA;6726;15
AMAPA;6742;1
AMAPA;6769;21
AMAPA;6831;26
AMAPA;6858;4
AMAPA;6866;10
AMAPA;6904;4
AMAPA;6912;3
AMAPA;6947;4
AMAPA;6963;2
AMAPA;7030;30
AMAPA;7048;13
AMAPA;7234;3
AMAPA;7285;2
AMAPA;7315;3
AMAPA;7323;1
AMAPA;7340;87
AMAPA;7366;20
AMAPA;7455;5184
AMAPA;7463;662
AMAPA;7471;101
AMAPA;7579;17
AMAPA;7587;13
AMAPA;7625;31
AMAPA;7633;78
AMAPA;7670;5
AMAPA;7684;2
AMAPA;7722;3
AMAZONAS;5002;5932
AMAZONAS;5010;493
AMAZONAS;5029;9
AMAZONAS;5037;39
AMAZONAS;5045;176
AMAZONAS;5053;49
AMAZONAS;5061;6
AMAZONAS;5096;1
AMAZONAS;5100;1
AMAZONAS;5118;166
AMAZONAS;5126;6
AMAZONAS;5134;1
AMAZONAS;5142;9
AMAZONAS;5169;90
AMAZONAS;5185;2774
AMAZONAS;5193;145
AMAZONAS;5207;78
AMAZONAS;5215;98
AMAZONAS;5231;4
AMAZONAS;5258;1
AMAZONAS;5266;3
AMAZONAS;5274;28
AMAZONAS;5282;1
AMAZONAS;5363;2
AMAZONAS;5371;3
AMAZONAS;5380;154
AMAZONAS;5398;5
AMAZONAS;5401;93
AMAZONAS;5410;102
AMAZONAS;5428;6
AMAZONAS;5444;2
AMAZONAS;5452;784
AMAZONAS;5460;50
AMAZONAS;5479;95
AMAZONAS;5487;384
AMAZONAS;5495;25
AMAZONAS;5509;235
AMAZONAS;5517;29
AMAZONAS;5525;97
AMAZONAS;5541;2540
AMAZONAS;5550;943
AMAZONAS;5568;118
AMAZONAS;5576;10
AMAZONAS;5592;20
AMAZONAS;5614;3
AMAZONAS;5622;39
AMAZONAS;5630;12
AMAZONAS;5665;160
AMAZONAS;5673;113
AMAZONAS;5681;19
AMAZONAS;5690;3
AMAZONAS;5703;47
AMAZONAS;5711;2
AMAZONAS;5720;151
AMAZONAS;5738;401
AMAZONAS;5746;85
AMAZONAS;5770;8
AMAZONAS;5789;1
AMAZONAS;5797;1
AMAZONAS;5800;8
AMAZONAS;5819;718
AMAZONAS;5827;5
AMAZONAS;5835;137
AMAZONAS;5843;370
AMAZONAS;5851;36
AMAZONAS;5860;3
AMAZONAS;5878;2
AMAZONAS;5894;1
AMAZONAS;5908;5
AMAZONAS;5916;1
AMAZONAS;5932;1
AMAZONAS;5959;6
AMAZONAS;5967;74
AMAZONAS;5991;610
AMAZONAS;6017;422
AMAZONAS;6025;174
AMAZONAS;6033;20
AMAZONAS;6041;772
AMAZONAS;6050;2810
AMAZONAS;6068;48
AMAZONAS;6076;33
AMAZONAS;6084;1
AMAZONAS;6092;2
AMAZONAS;6114;1
AMAZONAS;6122;113
AMAZONAS;6130;14
AMAZONAS;6173;5
AMAZONAS;6181;1
AMAZONAS;6190;3
AMAZONAS;6270;9
AMAZONAS;6289;1
AMAZONAS;6297;1
AMAZONAS;6319;2
AMAZONAS;6351;1
AMAZONAS;6360;1
AMAZONAS;6378;1
AMAZONAS;6394;1
AMAZONAS;6408;28
AMAZONAS;6432;1
AMAZONAS;6459;1
AMAZONAS;6483;7
AMAZONAS;6491;8
AMAZONAS;6530;21
AMAZONAS;6548;2
AMAZONAS;6556;44
AMAZONAS;6564;71
AMAZONAS;6580;62
AMAZONAS;6599;1943
AMAZONAS;6602;86
AMAZONAS;6610;25
AMAZONAS;6637;669
AMAZONAS;6645;97
AMAZONAS;6653;145
AMAZONAS;6661;7
AMAZONAS;6670;194
AMAZONAS;6688;1
AMAZONAS;6700;19
AMAZONAS;6718;1
AMAZONAS;6726;236
AMAZONAS;6750;2
AMAZONAS;6769;97
AMAZONAS;6785;1
AMAZONAS;6807;1
AMAZONAS;6823;26
AMAZONAS;6831;196
AMAZONAS;6840;3
AMAZONAS;6858;310
AMAZONAS;6866;5
AMAZONAS;6882;3
AMAZONAS;6890;3
AMAZONAS;6904;10
AMAZONAS;6912;4
AMAZONAS;6920;7
AMAZONAS;6947;13
AMAZONAS;6963;1
AMAZONAS;6971;1
AMAZONAS;6980;3
AMAZONAS;7030;2196
AMAZONAS;7048;1379
AMAZONAS;7056;19
AMAZONAS;7072;66
AMAZONAS;7099;9
AMAZONAS;7218;8
AMAZONAS;7226;2
AMAZONAS;7234;301
AMAZONAS;7242;1
AMAZONAS;7269;62
AMAZONAS;7285;31
AMAZONAS;7293;1
AMAZONAS;7307;4
AMAZONAS;7315;49
AMAZONAS;7323;11
AMAZONAS;7340;1241
AMAZONAS;7358;8
AMAZONAS;7366;193
AMAZONAS;7374;3
AMAZONAS;7455;4099
AMAZONAS;7463;1217
AMAZONAS;7471;249
AMAZONAS;7560;3
AMAZONAS;7579;35
AMAZONAS;7587;76
AMAZONAS;7617;4
AMAZONAS;7625;501
AMAZONAS;7633;646
AMAZONAS;7670;1
AMAZONAS;7684;239
AMAZONAS;7714;47
AMAZONAS;7722;16
AMAZONAS;7730;7
AMAZONAS;7749;1
AMAZONAS;7765;6
AMAZONAS;7781;1
BAHIA;5002;8454
BAHIA;5010;1999
BAHIA;5029;17
BAHIA;5037;61
BAHIA;5045;619
BAHIA;5053;168
BAHIA;5061;148
BAHIA;5070;4
BAHIA;5088;3
BAHIA;5096;24
BAHIA;5100;2
BAHIA;5118;369
BAHIA;5126;3
BAHIA;5134;11
BAHIA;5142;100
BAHIA;5150;17
BAHIA;5169;73
BAHIA;5177;4
BAHIA;5185;4741
BAHIA;5193;409
BAHIA;5207;257
BAHIA;5215;91
BAHIA;5223;7
BAHIA;5231;18
BAHIA;5240;2
BAHIA;5258;11
BAHIA;5266;50
BAHIA;5274;299
BAHIA;5282;2
BAHIA;5347;3
BAHIA;5355;3
BAHIA;5363;2
BAHIA;5371;13
BAHIA;5380;384
BAHIA;5398;33
BAHIA;5401;423
BAHIA;5410;517
BAHIA;5428;89
BAHIA;5436;8
BAHIA;5444;76
BAHIA;5452;3505
BAHIA;5460;213
BAHIA;5479;288
BAHIA;5487;1651
BAHIA;5495;7
BAHIA;5509;374
BAHIA;5517;34
BAHIA;5525;245
BAHIA;5541;14355
BAHIA;5550;2741
BAHIA;5568;2462
BAHIA;5576;5
BAHIA;5584;11
BAHIA;5592;360
BAHIA;5606;19
BAHIA;5614;24
BAHIA;5622;546
BAHIA;5630;23
BAHIA;5649;13
BAHIA;5657;21
BAHIA;5665;681
BAHIA;5673;252
BAHIA;5681;209
BAHIA;5690;25
BAHIA;5703;163
BAHIA;5711;53
BAHIA;5720;207
BAHIA;5738;1266
BAHIA;5746;2279
BAHIA;5770;35
BAHIA;5789;3
BAHIA;5797;48
BAHIA;5800;25
BAHIA;5819;691
BAHIA;5827;39
BAHIA;5835;357
BAHIA;5843;146
BAHIA;5851;17
BAHIA;5860;3
BAHIA;5878;46
BAHIA;5894;2
BAHIA;5908;49
BAHIA;5916;1
BAHIA;5924;12
BAHIA;5932;1
BAHIA;5940;22
BAHIA;5959;15
BAHIA;5967;738
BAHIA;5975;20
BAHIA;5983;9
BAHIA;5991;232
BAHIA;6009;1
BAHIA;6017;156
BAHIA;6025;23
BAHIA;6033;13
BAHIA;6041;996
BAHIA;6050;2586
BAHIA;6068;2850
BAHIA;6076;70
BAHIA;6084;49
BAHIA;6106;1
BAHIA;6122;135
BAHIA;6130;12
BAHIA;6149;2
BAHIA;6157;10
BAHIA;6165;3
BAHIA;6173;14
BAHIA;6181;15
BAHIA;6190;3
BAHIA;6203;1
BAHIA;6246;1
BAHIA;6254;1
BAHIA;6270;42
BAHIA;6378;1
BAHIA;6394;1
BAHIA;6408;81
BAHIA;6416;4
BAHIA;6432;9
BAHIA;6440;5
BAHIA;6459;6
BAHIA;6483;16
BAHIA;6491;44
BAHIA;6521;4
BAHIA;6530;197
BAHIA;6548;67
BAHIA;6556;101
BAHIA;6564;129
BAHIA;6572;1
BAHIA;6580;138
BAHIA;6599;3344
BAHIA;6602;383
BAHIA;6610;192
BAHIA;6629;12
BAHIA;6637;915
BAHIA;6645;293
BAHIA;6653;214
BAHIA;6661;63
BAHIA;6670;341
BAHIA;6688;23
BAHIA;6696;2
BAHIA;6700;384
BAHIA;6726;782
BAHIA;6734;2
BAHIA;6742;1
BAHIA;6750;57
BAHIA;6769;1165
BAHIA;6777;1
BAHIA;6785;11
BAHIA;6793;2
BAHIA;6807;16
BAHIA;6815;2
BAHIA;6823;143
BAHIA;6831;803
BAHIA;6840;30
BAHIA;6858;217
BAHIA;6866;82
BAHIA;6882;10
BAHIA;6890;6
BAHIA;6904;28
BAHIA;6912;275
BAHIA;6920;1912
BAHIA;6939;2
BAHIA;6947;30
BAHIA;6955;2
BAHIA;6963;14
BAHIA;6971;21
BAHIA;6980;49
BAHIA;7030;1567
BAHIA;7048;1218
BAHIA;7056;83
BAHIA;7072;44
BAHIA;7080;2
BAHIA;7099;24
BAHIA;7102;12
BAHIA;7110;6
BAHIA;7137;7
BAHIA;7153;3
BAHIA;7170;1
BAHIA;7196;4
BAHIA;7218;196
BAHIA;7234;102
BAHIA;7242;152
BAHIA;7250;5
BAHIA;7269;53
BAHIA;7285;45
BAHIA;7293;14
BAHIA;7307;1
BAHIA;7315;44
BAHIA;7323;31
BAHIA;7331;1
BAHIA;7340;2178
BAHIA;7358;98
BAHIA;7366;1373
BAHIA;7374;24
BAHIA;7455;96447
BAHIA;7463;17686
BAHIA;7471;2675
BAHIA;7552;1
BAHIA;7560;33
BAHIA;7579;1034
BAHIA;7587;1938
BAHIA;7617;11
BAHIA;7625;378
BAHIA;7633;4240
BAHIA;7641;11
BAHIA;7650;1
BAHIA;7670;19
BAHIA;7684;278
BAHIA;7714;31
BAHIA;7722;2131
BAHIA;7730;518
BAHIA;7749;5
BAHIA;7765;3
BAHIA;7781;2
CEARA;5002;9386
CEARA;5010;868
CEARA;5029;6
CEARA;5037;56
CEARA;5045;310
CEARA;5053;129
CEARA;5061;19
CEARA;5088;4
CEARA;5096;25
CEARA;5100;8
CEARA;5118;574
CEARA;5126;4
CEARA;5134;28
CEARA;5142;182
CEARA;5150;62
CEARA;5169;34
CEARA;5177;1
CEARA;5185;3276
CEARA;5193;309
CEARA;5207;101
CEARA;5215;44
CEARA;5231;4
CEARA;5258;2
CEARA;5266;1
CEARA;5274;80
CEARA;5282;1
CEARA;5320;1
CEARA;5371;2
CEARA;5380;1354
CEARA;5398;28
CEARA;5401;228
CEARA;5410;906
CEARA;5428;22
CEARA;5436;1
CEARA;5444;36
CEARA;5452;10488
CEARA;5460;142
CEARA;5479;530
CEARA;5487;1508
CEARA;5495;118
CEARA;5509;300
CEARA;5517;3
CEARA;5525;3311
CEARA;5541;10991
CEARA;5550;20004
CEARA;5568;2806
CEARA;5576;44
CEARA;5584;10
CEARA;5592;84
CEARA;5606;11
CEARA;5614;13
CEARA;5622;1056
CEARA;5630;51
CEARA;5657;5
CEARA;5665;1438
CEARA;5673;3431
CEARA;5681;24
CEARA;5690;1
CEARA;5703;47
CEARA;5711;13
CEARA;5720;669
CEARA;5738;2543
CEARA;5746;1295
CEARA;5762;3
CEARA;5770;5
CEARA;5797;4
CEARA;5800;4
CEARA;5819;2030
CEARA;5827;28
CEARA;5835;246
CEARA;5843;432
CEARA;5851;347
CEARA;5860;8
CEARA;5878;21
CEARA;5908;13
CEARA;5916;1
CEARA;5924;5
CEARA;5932;1
CEARA;5940;3
CEARA;5959;21
CEARA;5967;237
CEARA;5975;12
CEARA;5983;3
CEARA;5991;796
CEARA;6009;3
CEARA;6017;270
CEARA;6025;7
CEARA;6033;34
CEARA;6041;2377
CEARA;6050;17392
CEARA;6068;157
CEARA;6076;31
CEARA;6084;11
CEARA;6122;537
CEARA;6130;10
CEARA;6149;4
CEARA;6165;2
CEARA;6173;3
CEARA;6181;10
CEARA;6190;1
CEARA;6262;6
CEARA;6270;23
CEARA;6297;1
CEARA;6394;2
CEARA;6408;268
CEARA;6416;1
CEARA;6424;1
CEARA;6432;2
CEARA;6440;1
CEARA;6483;12
CEARA;6491;13
CEARA;6530;16
CEARA;6548;1
CEARA;6556;20
CEARA;6564;140
CEARA;6580;120
CEARA;6599;12606
CEARA;6602;860
CEARA;6610;115
CEARA;6629;21
CEARA;6637;1225
CEARA;6645;179
CEARA;6653;199
CEARA;6661;1031
CEARA;6670;696
CEARA;6688;19
CEARA;6696;5
CEARA;6700;127
CEARA;6726;553
CEARA;6734;1
CEARA;6742;79
CEARA;6750;8
CEARA;6769;1022
CEARA;6777;1
CEARA;6785;7
CEARA;6793;1
CEARA;6807;14
CEARA;6823;21
CEARA;6831;310
CEARA;6840;11
CEARA;6858;283
CEARA;6866;25
CEARA;6882;1
CEARA;6890;6
CEARA;6904;22
CEARA;6912;23
CEARA;6920;5992
CEARA;6947;102
CEARA;6955;1
CEARA;6963;14
CEARA;6971;5
CEARA;6980;20
CEARA;7013;1
CEARA;7030;3625
CEARA;7048;2242
CEARA;7056;34
CEARA;7072;93
CEARA;7080;2
CEARA;7099;27
CEARA;7102;407
CEARA;7110;1
CEARA;7137;1
CEARA;7218;45
CEARA;7226;1
CEARA;7234;348
CEARA;7242;18
CEARA;7269;174
CEARA;7285;3369
CEARA;7293;39
CEARA;7315;10
CEARA;7323;31
CEARA;7331;1
CEARA;7340;7254
CEARA;7358;8
CEARA;7366;342
CEARA;7374;7
CEARA;7447;1
CEARA;7455;88674
CEARA;7463;13795
CEARA;7471;1654
CEARA;7552;1
CEARA;7560;15
CEARA;7579;325
CEARA;7587;4738
CEARA;7625;641
CEARA;7633;1951
CEARA;7641;2
CEARA;7670;57
CEARA;7684;16106
CEARA;7714;1267
CEARA;7722;211
CEARA;7730;75
CEARA;7749;27
CEARA;7757;1
CEARA;7765;8
CEARA;7781;7
DISTRITO FEDERAL;5002;3564
DISTRITO FEDERAL;5010;713
DISTRITO FEDERAL;5029;18
DISTRITO FEDERAL;5037;30
DISTRITO FEDERAL;5045;578
DISTRITO FEDERAL;5053;18
DISTRITO FEDERAL;5061;46
DISTRITO FEDERAL;5096;5
DISTRITO FEDERAL;5100;1
DISTRITO FEDERAL;5118;39
DISTRITO FEDERAL;5134;3
DISTRITO FEDERAL;5142;16
DISTRITO FEDERAL;5169;169
DISTRITO FEDERAL;5185;6714
DISTRITO FEDERAL;5193;247
DISTRITO FEDERAL;5207;320
DISTRITO FEDERAL;5215;34
DISTRITO FEDERAL;5223;1
DISTRITO FEDERAL;5231;30
DISTRITO FEDERAL;5258;11
DISTRITO FEDERAL;5266;4
DISTRITO FEDERAL;5274;102
DISTRITO FEDERAL;5282;1
DISTRITO FEDERAL;5290;1
DISTRITO FEDERAL;5347;4
DISTRITO FEDERAL;5355;1
DISTRITO FEDERAL;5371;8
DISTRITO FEDERAL;5380;454
DISTRITO FEDERAL;5398;19
DISTRITO FEDERAL;5401;30
DISTRITO FEDERAL;5410;1806
DISTRITO FEDERAL;5428;66
DISTRITO FEDERAL;5436;7
DISTRITO FEDERAL;5444;46
DISTRITO FEDERAL;5452;4600
DISTRITO FEDERAL;5460;61
DISTRITO FEDERAL;5479;539
DISTRITO FEDERAL;5487;202
DISTRITO FEDERAL;5495;41
DISTRITO FEDERAL;5509;166
DISTRITO FEDERAL;5517;9
DISTRITO FEDERAL;5525;707
DISTRITO FEDERAL;5541;1539
DISTRITO FEDERAL;5550;5382
DISTRITO FEDERAL;5568;2349
DISTRITO FEDERAL;5576;5
DISTRITO FEDERAL;5584;7
DISTRITO FEDERAL;5592;16
DISTRITO FEDERAL;5606;34
DISTRITO FEDERAL;5614;18
DISTRITO FEDERAL;5622;68
DISTRITO FEDERAL;5630;15
DISTRITO FEDERAL;5657;8
DISTRITO FEDERAL;5665;157
DISTRITO FEDERAL;5673;158
DISTRITO FEDERAL;5681;6294
DISTRITO FEDERAL;5690;3068
DISTRITO FEDERAL;5703;99
DISTRITO FEDERAL;5711;100
DISTRITO FEDERAL;5720;204
DISTRITO FEDERAL;5738;556
DISTRITO FEDERAL;5746;493
DISTRITO FEDERAL;5762;1
DISTRITO FEDERAL;5770;76
DISTRITO FEDERAL;5789;3
DISTRITO FEDERAL;5797;21
DISTRITO FEDERAL;5800;72
DISTRITO FEDERAL;5819;1218
DISTRITO FEDERAL;5827;15
DISTRITO FEDERAL;5835;152
DISTRITO FEDERAL;5843;1834
DISTRITO FEDERAL;5851;167
DISTRITO FEDERAL;5860;47
DISTRITO FEDERAL;5878;56
DISTRITO FEDERAL;5908;93
DISTRITO FEDERAL;5924;3
DISTRITO FEDERAL;5932;1
DISTRITO FEDERAL;5959;5
DISTRITO FEDERAL;5967;296
DISTRITO FEDERAL;5975;6
DISTRITO FEDERAL;5991;148
DISTRITO FEDERAL;6009;1
DISTRITO FEDERAL;6017;52
DISTRITO FEDERAL;6025;15
DISTRITO FEDERAL;6033;18
DISTRITO FEDERAL;6041;826
DISTRITO FEDERAL;6050;10854
DISTRITO FEDERAL;6068;211
DISTRITO FEDERAL;6076;24
DISTRITO FEDERAL;6084;69
DISTRITO FEDERAL;6122;890
DISTRITO FEDERAL;6130;85
DISTRITO FEDERAL;6149;7
DISTRITO FEDERAL;6157;4
DISTRITO FEDERAL;6173;22
DISTRITO FEDERAL;6181;13
DISTRITO FEDERAL;6270;17
DISTRITO FEDERAL;6297;2
DISTRITO FEDERAL;6327;1
DISTRITO FEDERAL;6394;1
DISTRITO FEDERAL;6408;37
DISTRITO FEDERAL;6416;1
DISTRITO FEDERAL;6432;14
DISTRITO FEDERAL;6440;12
DISTRITO FEDERAL;6459;1
DISTRITO FEDERAL;6483;8
DISTRITO FEDERAL;6491;23
DISTRITO FEDERAL;6505;1
DISTRITO FEDERAL;6530;398
DISTRITO FEDERAL;6548;42
DISTRITO FEDERAL;6556;28
DISTRITO FEDERAL;6564;6
DISTRITO FEDERAL;6580;59
DISTRITO FEDERAL;6599;5134
DISTRITO FEDERAL;6602;286
DISTRITO FEDERAL;6610;138
DISTRITO FEDERAL;6629;3
DISTRITO FEDERAL;6637;331
DISTRITO FEDERAL;6645;56
DISTRITO FEDERAL;6653;722
DISTRITO FEDERAL;6661;44
DISTRITO FEDERAL;6670;326
DISTRITO FEDERAL;6688;2
DISTRITO FEDERAL;6696;1
DISTRITO FEDERAL;6700;91
DISTRITO FEDERAL;6726;127
DISTRITO FEDERAL;6742;2
DISTRITO FEDERAL;6750;4
DISTRITO FEDERAL;6769;2781
DISTRITO FEDERAL;6777;1
